name,league,primary,secondary,tertiary,quaternary,division
ULM,ncaa,#800029,#BD955A,#646469,#DAD86D,Sunbelt
UMass Lowell,ncaa,#003DA5,#C8102E,NA,NA,Am. East
UMBC,ncaa,#B18906,#FFC20E,#000000,#ED1C24,Am. East
UMES,ncaa,#822433,#8B8D8E,NA,NA,MEAC
UNC Asheville,ncaa,#003DA5,#FFFFFF,NA,NA,Big South
UNC Greensboro,ncaa,#0F2044,#FFB71B,NA,NA,Southern
UNCW,ncaa,#006666,#003366,#FFD600,NA,CAA
UNI,ncaa,#4B116F,#FFCC00,NA,NA,MVC
UNLV,ncaa,#B10202,#666666,#000000,NA,MWC
USC Upstate,ncaa,#00703C,#000000,NA,NA,Big South
UT Arlington,ncaa,#F58025,#0064B1,NA,NA,WAC
UT Martin,ncaa,#002649,#F77F00,NA,NA,OVC
Utah Utes[ay],ncaa,#CC0000,#808080,#000000,NA,Pac 12
Utah State Aggies,ncaa,#0F2439,#FFFFFF,#9D968D,#000000,MWC
Utah Valley Wolverines,ncaa,#275D38,#000000,#8E8C89,NA,WAC
UTEP,ncaa,#FF8200,#041E42,#B1B3B3,NA,C-USA
UTRGV,ncaa,#FFA300,#F05023,#00843D,#0C2340,WAC
UTSA,ncaa,#F15A22,#0C2340,NA,NA,C-USA
Valparaiso Beacons,ncaa,#381E0E,#613318,#FFCC00,NA,MVC
Vanderbilt Commodores,ncaa,#000000,#866D4B,NA,NA,SEC
VCU,ncaa,#FFB300,#000000,NA,NA,A-10
Vermont,ncaa,#154734,#8B5B29,#FFC72C,#C6AA76,Am. East
Villanova Wildcats,ncaa,#00205B,#13B5EA,#8B634B,NA,Big East
Virginia Cavaliers,ncaa,#232D4B,#F84C1E,#FFFFFF,NA,ACC
Virginia Tech,ncaa,#630031,#CF4420,NA,NA,ACC
VMI,ncaa,#AE122A,#FFD619,NA,NA,Southern
Wagner,ncaa,#004331,#FFFFFF,NA,NA,NEC
Wake Forest Demon Deacons,ncaa,#A67F31,#000000,NA,NA,ACC
Washington Huskies,ncaa,#4B2E83,#B7A57A,#85754D,NA,Pac 12
Washington State Cougars,ncaa,#981E32,#5E6A71,NA,NA,Pac 12
Weber State Wildcats,ncaa,#A1A1A4,#130C0E,NA,NA,Big Sky
West Virginia Mountaineers,ncaa,#002855,#EAAA00,NA,NA,Big 12
Western Carolina Catamounts,ncaa,#592C88,#B9975B,NA,NA,Southern
Western Illinois Leathernecks,ncaa,#663399,#FFCC00,NA,NA,Summit
Western Kentucky Hilltoppers[az],ncaa,#C60C30,#1E1E1E,#A2A4A3,NA,C-USA
Western Michigan Broncos,ncaa,#6C4023,#B5A167,#AAA8AA,#000000,MAC
Wichita State Shockers,ncaa,#FFCD00,#000000,NA,NA,AAC
William & Mary,ncaa,#115740,#F0B323,#D0D3D4,NA,CAA
Winthrop Eagles,ncaa,#872434,#FFC82E,NA,NA,Big South
Wisconsin,ncaa,#C5050C,#FFFFFF,#9B0000,NA,Big 10
Wofford,ncaa,#886E4C,#000000,NA,NA,Southern
Wright State Raiders,ncaa,#026937,#CEA052,#FFE1A5,#DE6328,Horizon
Wyoming Cowboys[ai],ncaa,#FFC425,#492F24,NA,NA,MWC
Xavier Musketeers,ncaa,#0C2340,#9EA2A2,#0099CC,NA,Big East
Yale Bulldogs,ncaa,#00356B,#FFFFFF,NA,NA,Ivy
Youngstown State Penguins,ncaa,#C8102E,#F3D54E,NA,NA,Horizon
Queens (NC),ncaa,#192C66,white,NA,NA,A-Sun
Lindenwood,ncaa,#101820,#B5A36A,NA,NA,OVC
Tex. A&M-Commerce,ncaa,navy,gold,NA,NA,Southland
Southern Ind.,ncaa,#CF102D,#002D5D,NA,NA,OVC
Stonehill,ncaa,purple,black,NA,NA,NEC
